accession,taxid,superkingdom,phylum,class,order,family,genus,species
NC_023527.1,89020,NA,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,Mustelus griseus
NC_023526.1,318738,NA,Chordata,Actinopteri,Cichliformes,Cichlidae,Vieja,Vieja melanura
NC_023525.1,2292668,NA,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Urogymnus,Urogymnus granulatus
NC_023521.1,280671,NA,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus sorrah
NC_023520.1,30501,NA,Chordata,Chondrichthyes,Lamniformes,Odontaspididae,Carcharias,Carcharias taurus
NC_023519.1,1415582,NA,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Uraeotyphlus,Uraeotyphlus gansi
NC_023518.1,260982,NA,Chordata,Amphibia,Gymnophiona,Dermophiidae,Schistometopum,Schistometopum gregorii
NC_023517.1,420423,NA,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Praslinia,Praslinia cooperi
NC_023516.1,3372812,NA,Chordata,Amphibia,Gymnophiona,Typhlonectidae,Potamotyphlus,Potamotyphlus kaupii
NC_023515.1,1415580,NA,Chordata,Amphibia,Gymnophiona,Siphonopidae,Microcaecilia,Microcaecilia unicolor
NC_023514.1,1415579,NA,Chordata,Amphibia,Gymnophiona,Siphonopidae,Microcaecilia,Microcaecilia dermatophaga
NC_023513.1,320582,NA,Chordata,Amphibia,Gymnophiona,Siphonopidae,Luetkenotyphlus,Luetkenotyphlus brasiliensis
NC_023512.1,1035548,NA,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Indotyphlus,Indotyphlus maharashtraensis
NC_023511.1,406260,NA,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis,Ichthyophis bombayensis
NC_023510.1,441557,NA,Chordata,Amphibia,Gymnophiona,Indotyphlidae,Grandisonia,Grandisonia sechellensis
NC_023509.1,420416,NA,Chordata,Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,Chthonerpeton indistinctum
NC_023508.1,1415575,NA,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,Caecilia gracilis
NC_023507.1,356198,NA,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia,Caecilia tentaculata
NC_023473.1,341118,NA,Chordata,Actinopteri,Cypriniformes,Cobitidae,Cobitis,Cobitis melanoleuca
