accession,taxid,superkingdom,phylum,class,order,family,genus,species
PV391148.1,9606,NA,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
PV256478.1,3228958,NA,Chordata,Mammalia,Carnivora,Mustelidae,Aonyx,Aonyx congicus
PV254232.1,46260,NA,Chordata,Actinopteri,NA,Moronidae,Morone,Morone americana
PV387265.1,9906,NA,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos javanicus
PV231060.1,10089,NA,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus caroli
PV231059.1,10090,NA,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus
PV230503.1,101699,NA,Chordata,NA,Testudines,Testudinidae,Testudo,Testudo horsfieldii
PQ390636.1,80466,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Mesalina,Mesalina guttulata
PQ390711.1,1561959,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias intermedia
PQ390710.1,2202318,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias lineolata
PQ390707.1,383862,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias multiocellata
PQ390705.1,627219,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias persica
PQ390704.1,122285,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias velox
PQ390703.1,3146480,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias regeli
PQ390702.1,1819979,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias stummeri
PP484682.1,260524,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus fulvus
OP588115.1,8022,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
PP471984.1,3132147,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Aulopareia,Aulopareia sp.
PP471983.1,3132145,NA,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,Callionymus hindsii
PP471982.1,3112289,NA,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,Callionymus sp.
PQ246113.1,36240,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela sibirica
PQ246112.1,9668,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius
PQ246111.1,36239,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela nivalis
PQ246108.1,36723,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela erminea
PQ571332.1,384072,NA,Chordata,Lepidosauria,Squamata,Viperidae,Macrovipera,Macrovipera lebetinus
PV256475.1,59453,NA,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros diadema
PV369186.1,340988,NA,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Rhinichthys,Rhinichthys cataractae
PV369185.1,33539,NA,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Luxilus,Luxilus cornutus
PV369184.1,67556,NA,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Rhinichthys,Rhinichthys atratulus
PV370339.1,3230586,NA,Chordata,Actinopteri,Blenniiformes,Blenniidae,Enchelyurus,Enchelyurus brunneolus
PV370338.1,2898570,NA,Chordata,Actinopteri,Tetraodontiformes,Triacanthodidae,Hollardia,Hollardia hollardi
PV370337.1,630658,NA,Chordata,Actinopteri,Gadiformes,Macrouridae,Coelorinchus,Coelorinchus caribbaeus
PV370336.1,372796,NA,Chordata,Actinopteri,Scombriformes,Gempylidae,Diplospinus,Diplospinus multistriatus
PV370333.1,274698,NA,Chordata,Actinopteri,Perciformes,Scorpaenidae,Pontinus,Pontinus longispinis
PV370332.1,1266880,NA,Chordata,Actinopteri,Perciformes,Triglidae,Prionotus,Prionotus carolinus
PV370330.1,195611,NA,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Etropus,Etropus microstomus
PV370329.1,184440,NA,Chordata,Actinopteri,Perciformes,Serranidae,Centropristis,Centropristis striata
PV370328.1,1181892,NA,Chordata,Actinopteri,Anguilliformes,Congridae,Conger,Conger triporiceps
PV370327.1,3065009,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Barbulifer,Barbulifer antennatus
PV370326.1,3065010,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Paraclinus,Paraclinus cingulatus
PV370325.1,203294,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Elacatinus,Elacatinus horsti
PV370324.1,1182256,NA,Chordata,Actinopteri,Ophidiiformes,Bythitidae,Calamopteryx,Calamopteryx goslinei
PV370323.1,317240,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Elacatinus,Elacatinus randalli
PV370322.1,2100593,NA,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Monomitopus,Monomitopus agassizii
PV369935.1,61384,NA,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus
KR018384.1,83761,NA,Chordata,Mammalia,Rodentia,Muridae,Sundamys,Sundamys muelleri
KR018383.1,472764,NA,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus verecundus
KR018382.1,472763,NA,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus steini
KR018380.1,946981,NA,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus giluwensis
KR018379.1,332665,NA,Chordata,Mammalia,Rodentia,Muridae,Maxomys,Maxomys bartelsii
KR018378.1,106283,NA,Chordata,Mammalia,Rodentia,Muridae,Diplothrix,Diplothrix legata
KR018377.1,491872,NA,Chordata,Mammalia,Rodentia,Muridae,Chiromyscus,Chiromyscus chiropus
KR018376.1,595394,NA,Chordata,Mammalia,Rodentia,Muridae,Berylmys,Berylmys berdmorei
KR018375.1,456472,NA,Chordata,Mammalia,Rodentia,Muridae,Bandicota,Bandicota indica
PV365185.1,3411663,NA,Chordata,Actinopteri,Cypriniformes,Cobitidae,Cobitis,Cobitis tigrina
PV365184.1,1254959,NA,Chordata,Actinopteri,Cypriniformes,Cobitidae,Cobitis,Cobitis crassicauda
ON416885.1,408872,NA,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus hanglu
PV357919.1,300227,NA,Chordata,Actinopteri,Tetraodontiformes,Triodontidae,Triodon,Triodon macropterus
PV357918.1,202727,NA,Chordata,Actinopteri,Perciformes,Sebastidae,Helicolenus,Helicolenus dactylopterus
PV357917.1,862788,NA,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,Sphoeroides parvus
PV357916.1,499856,NA,Chordata,Actinopteri,Scombriformes,Gempylidae,Neoepinnula,Neoepinnula americana
PV357915.1,2996726,NA,Chordata,Actinopteri,Scombriformes,Ariommatidae,Ariomma,Ariomma regulus
PV357914.1,183653,NA,Chordata,Actinopteri,Scombriformes,Stromateidae,Peprilus,Peprilus triacanthus
PV357912.1,160726,NA,Chordata,Actinopteri,Perciformes,Serranidae,Hyporthodus,Hyporthodus niveatus
PV357911.1,274732,NA,Chordata,Actinopteri,Perciformes,Peristediidae,Peristedion,Peristedion gracile
PV357910.1,245696,NA,Chordata,Actinopteri,Zeiformes,Zeidae,Zenopsis,Zenopsis conchifer
PV357909.1,338315,NA,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber colias
PV357907.1,3001735,NA,Chordata,Actinopteri,Perciformes,Peristediidae,Peristedion,Peristedion greyae
PV357906.1,586845,NA,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Pervagor,Pervagor aspricaudus
PV357905.1,303741,NA,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,Sphoeroides spengleri
PV357904.1,2100600,NA,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Penopus,Penopus microphthalmus
PV357903.1,3064998,NA,Chordata,Actinopteri,Anguilliformes,Colocongridae,Coloconger,Coloconger meadi
PV357902.1,1675537,NA,Chordata,Actinopteri,Notacanthiformes,Halosauridae,Halosaurus,Halosaurus ovenii
PV357901.1,189484,NA,Chordata,Actinopteri,Anguilliformes,Synaphobranchidae,Dysomma,Dysomma anguillare
PV357794.1,857698,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Microdevario,Microdevario kubotai
PV357790.1,1142204,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Devario,Devario sondhii
PV357786.1,46778,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Devario,Devario aequipinnatus
PV357782.1,299714,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio choprae
PV357778.1,487618,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio margaritatus
PV357774.1,27699,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio albolineatus
PV357770.1,1093597,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio tinwini
PV357766.1,144739,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio nigrofasciatus
PV357762.1,242068,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio kyathit
PV357758.1,1142201,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio aesculapii
PV357754.1,7955,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio rerio
PV355846.1,1507464,NA,Chordata,Aves,Apodiformes,Trochilidae,Goldmania,Goldmania violiceps
OQ513963.1,8503,NA,Chordata,NA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus novaeguineae
OQ513958.1,8501,NA,Chordata,NA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus
OQ513956.1,8502,NA,Chordata,NA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus porosus
OR766867.1,3024289,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Neolissochilus,Neolissochilus pnar
PV339948.1,8096,NA,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus aenaeus
PV339947.1,1266877,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycenchelys,Lycenchelys verrillii
PV339946.1,1266876,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycenchelys,Lycenchelys paxillus
PV339945.1,114863,NA,Chordata,Actinopteri,Trachichthyiformes,Trachichthyidae,Hoplostethus,Hoplostethus mediterraneus
PV339943.1,1266867,NA,Chordata,Actinopteri,Acropomatiformes,Epigonidae,Epigonus,Epigonus pandionis
PV339940.1,557337,NA,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja spinicauda
PV200276.1,68408,NA,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,Moschus berezovskii
PV329703.1,1213699,NA,Chordata,Chondrichthyes,Lamniformes,Odontaspididae,Odontaspis,Odontaspis noronhai
PV329702.1,882886,NA,Chordata,Actinopteri,Stomiiformes,Stomiidae,Thysanactis,Thysanactis dentex
PV329700.1,202602,NA,Chordata,Actinopteri,Labriformes,Labridae,Tautoga,Tautoga onitis
PV329699.1,109281,NA,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus erectus
PV329698.1,3352867,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Bollmannia,Bollmannia eigenmannorum
PV329697.1,3065008,NA,Chordata,Actinopteri,Ophidiiformes,Bythitidae,Ogilbia,Ogilbia jeffwilliamsi
PV329696.1,3359736,NA,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Porogadus,Porogadus atripectus
PV329695.1,875792,NA,Chordata,Actinopteri,Kurtiformes,Apogonidae,Apogon,Apogon guadalupensis
PQ334062.1,30535,NA,Chordata,Mammalia,Artiodactyla,Tayassuidae,Tayassu,Tayassu pecari
PV294982.1,189499,NA,Chordata,Actinopteri,Elopiformes,Elopidae,Elops,Elops machnata
PP439705.1,245781,NA,Chordata,Actinopteri,Siluriformes,Callichthyidae,Megalechis,Megalechis thoracata
PP114297.1,2725302,NA,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Triplophysa,Triplophysa grahami
OM731672.1,2991329,NA,Chordata,Actinopteri,Cypriniformes,Xenocyprididae,Anabarilius,Anabarilius duoyiheensis
MZ242140.1,274825,NA,Chordata,Lepidosauria,Squamata,Elapidae,Aipysurus,Aipysurus eydouxii
MW217571.1,2794197,NA,Chordata,Actinopteri,Siluriformes,Siluridae,Silurus,Silurus grahami
PP375181.1,9728,NA,Chordata,Mammalia,Artiodactyla,Delphinidae,Delphinus,Delphinus delphis
PV250219.1,148989,NA,Chordata,Actinopteri,Characiformes,Prochilodontidae,Prochilodus,Prochilodus magdalenae
PV250218.1,930263,NA,Chordata,Actinopteri,Characiformes,Prochilodontidae,Prochilodus,Prochilodus reticulatus
OQ830573.1,2898653,NA,Chordata,Amphibia,Anura,Megophryidae,Panophrys,Panophrys tuberogranulata
OQ830572.1,3018543,NA,Chordata,Amphibia,Anura,Megophryidae,Boulenophrys,Boulenophrys sangzhiensis
PV245953.1,3148522,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis occidentalis
PV245952.1,1260350,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis dorsalis
PV245951.1,3147282,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis thomasi
PV245950.1,3148520,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis biserialis
PV245949.1,3148524,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis steindachneri
PV245948.1,3148521,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis hoodensis
PV245947.1,3147280,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis darwini
PV245946.1,1260351,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis elegans
PV245945.1,3148523,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis slevini
MF180232.1,13095,NA,Chordata,Actinopteri,Cypriniformes,Xenocyprididae,Hypophthalmichthys,Hypophthalmichthys molitrix
PV185780.1,179369,NA,Chordata,Actinopteri,Carangiformes,Carangidae,Selene,Selene setapinnis
PV185779.1,173321,NA,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola,Seriola rivoliana
PV185778.1,146146,NA,Chordata,Actinopteri,Carangiformes,Carangidae,Selar,Selar crumenophthalmus
PV185777.1,179371,NA,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus lathami
PV185776.1,436009,NA,Chordata,Actinopteri,Carangiformes,Carangidae,Seriolina,Seriolina nigrofasciata
PV185775.1,173309,NA,Chordata,Actinopteri,Carangiformes,Carangidae,Caranx,Caranx crysos
PV185774.1,146143,NA,Chordata,Actinopteri,Carangiformes,Carangidae,Decapterus,Decapterus macarellus
PV174434.1,34875,NA,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,Saiga tatarica
PV239887.1,1604048,NA,Chordata,Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta
PV239885.1,64668,NA,Chordata,Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta
PP350837.1,3122041,NA,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Eonemachilus,Eonemachilus caohaiensis
PQ356185.2,3349501,NA,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Triplophysa,Triplophysa sp. y SS-2024
PV212379.1,544414,NA,Chordata,Actinopteri,Labriformes,Labridae,Chlorurus,Chlorurus microrhinos
MH166794.2,263718,NA,Chordata,Chondrichthyes,NA,Squatinidae,Squatina,Squatina squatina
PP897909.1,182658,NA,Chordata,Actinopteri,Spariformes,Lethrinidae,Lethrinus,Lethrinus nebulosus
PV170626.1,443712,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Pristipomoides,Pristipomoides sieboldii
PV170625.1,1459836,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Pristipomoides,Pristipomoides argyrogrammicus
PV170623.1,1508078,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Pristipomoides,Pristipomoides zonatus
PV170614.1,398258,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Pristipomoides,Pristipomoides filamentosus
PV170597.1,1156133,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Pristipomoides,Pristipomoides auricilla
PV170595.1,1003729,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Etelis,Etelis coruscans
PV170592.1,443693,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Etelis,Etelis carbunculus
PV170562.1,396779,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Aphareus,Aphareus furca
PV170561.1,396787,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus kasmira
PV170540.1,1522414,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Paracaesio,Paracaesio caerulea
PP409972.1,9657,NA,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,Lutra lutra
PP025975.1,2829714,NA,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Triplophysa,Triplophysa wulongensis
OR682198.1,61452,NA,Chordata,Mammalia,Carnivora,Felidae,Neofelis,Neofelis nebulosa
OR537182.1,36185,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Thymallus,Thymallus thymallus
PV126279.1,186550,NA,Chordata,Lepidosauria,Squamata,Colubridae,Crotaphopeltis,Crotaphopeltis tornieri
PV116343.1,1248180,NA,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,Onychodactylus koreanus
PV132446.1,8853,NA,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta canadensis
PV132445.1,9000,NA,Chordata,Aves,Galliformes,Phasianidae,Bonasa,Bonasa umbellus
PV132444.1,68356,NA,Chordata,Lepidosauria,Squamata,Teiidae,Aspidoscelis,Aspidoscelis sexlineatus
MW026682.1,3353606,NA,Chordata,Actinopteri,NA,Sciaenidae,Chrysochir,Chrysochir aurea
PP271916.1,3370920,NA,Chordata,Mammalia,Chiroptera,Phyllostomidae,Trachops,Trachops coffini
PP272106.1,8017,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha
PP129633.1,3118988,NA,Chordata,Actinopteri,Perciformes,Serranidae,Epinephelus,Epinephelus cyanopodus x Epinephelus tukula
PV090785.1,9631,NA,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox
PV090784.1,9630,NA,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes macrotis
PV090783.1,354190,NA,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes cana
PQ783625.1,35540,NA,Chordata,Aves,Psittaciformes,Psittacidae,Pezoporus,Pezoporus wallicus
PQ783624.1,309878,NA,Chordata,Aves,Psittaciformes,Psittacidae,Neopsephotus,Neopsephotus bourkii
PV087177.1,240697,NA,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus temminckii
PQ164987.1,9760,NA,Chordata,Mammalia,Artiodactyla,Ziphiidae,Ziphius,Ziphius cavirostris
PV040731.1,43111,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma macrodactylum
PV040729.1,7904,NA,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus
PV040728.1,7908,NA,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris
OQ420716.1,182649,NA,Chordata,Actinopteri,Spariformes,Lethrinidae,Lethrinus,Lethrinus atlanticus
PV077347.1,3398678,NA,Chordata,Amphibia,Anura,Rhacophoridae,Raorchestes,Raorchestes sp.
PV077897.1,1367094,NA,Chordata,Actinopteri,NA,Polynemidae,Eleutheronema,Eleutheronema rhadinum
PV077896.1,210139,NA,Chordata,Actinopteri,NA,Polynemidae,Eleutheronema,Eleutheronema tetradactylum
PQ932618.1,3360752,NA,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Schistura,Schistura rara
PQ932617.1,3127180,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Rhinogobius,Rhinogobius sp.
PQ997938.1,2746895,NA,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera ricei
PV054332.1,3016805,NA,Chordata,Actinopteri,Anabantiformes,Anabantidae,Microctenopoma,Microctenopoma stevenorrisi
PV054331.1,3016806,NA,Chordata,Actinopteri,Anabantiformes,Anabantidae,Microctenopoma,Microctenopoma steveboyesi
PV054330.1,2893481,NA,Chordata,Actinopteri,Anabantiformes,Anabantidae,Ctenopoma,Ctenopoma multispine
PV054329.1,313158,NA,Chordata,Actinopteri,Anabantiformes,Anabantidae,Ctenopoma,Ctenopoma kingsleyae
PV054328.1,2777736,NA,Chordata,Actinopteri,Anabantiformes,Anabantidae,Sandelia,Sandelia bainsii
PV075036.1,2709347,NA,Chordata,Actinopteri,Siluriformes,Bagridae,Bagroides,Bagroides melapterus
PV069720.1,8238,NA,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus orientalis
PV069719.1,8240,NA,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus maccoyii
PP411914.1,69293,NA,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus
PV072728.1,8439,NA,Chordata,Amphibia,Anura,Ascaphidae,Ascaphus,Ascaphus truei
PQ932612.1,8130,NA,Chordata,Actinopteri,Cichliformes,Cichlidae,Coptodon,Coptodon zillii
PQ878651.1,9733,NA,Chordata,Mammalia,Artiodactyla,Delphinidae,Orcinus,Orcinus orca
PV068165.1,190824,NA,Chordata,Lepidosauria,Squamata,Colubridae,Crotaphopeltis,Crotaphopeltis hotamboeia
OR936095.1,3356533,NA,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Karstsinnectes,Karstsinnectes cehengensis
OR911369.1,94948,NA,Chordata,Actinopteri,Scombriformes,Pomatomidae,Pomatomus,Pomatomus saltator
PQ773495.1,1916759,NA,Chordata,Actinopteri,Perciformes,Synanceiidae,Inimicus,Inimicus didactylus
PP818749.1,80953,NA,Chordata,Actinopteri,NA,Pomacentridae,Pomacentrus,Pomacentrus bankanensis
PP818748.1,80951,NA,Chordata,Actinopteri,NA,Pomacentridae,Dascyllus,Dascyllus reticulatus
PP818747.1,80998,NA,Chordata,Actinopteri,NA,Pomacentridae,Teixeirichthys,Teixeirichthys jordani
PP461487.1,148062,NA,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrophyllum,Macrophyllum macrophyllum
PP461486.1,148072,NA,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phylloderma,Phylloderma stenops
PP461485.1,9423,NA,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus
PP461484.1,148073,NA,Chordata,Mammalia,Chiroptera,Phyllostomidae,Trachops,Trachops cirrhosus
PV054095.1,8305,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma tigrinum
PQ766607.1,59485,NA,Chordata,Mammalia,Chiroptera,Vespertilionidae,Vespertilio,Vespertilio murinus
PQ594835.1,1663730,NA,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola stejnegeri
OP747050.1,86224,NA,Chordata,Actinopteri,Gobiiformes,Eleotridae,Bostrychus,Bostrychus sinensis
PQ385614.1,1081678,NA,Chordata,Actinopteri,Siluriformes,Clariidae,Clarias,Clarias teijsmanni
OP205218.1,302098,NA,Chordata,Mammalia,Artiodactyla,Balaenidae,Eubalaena,Eubalaena japonica
OP205191.1,27606,NA,Chordata,Mammalia,Artiodactyla,Balaenidae,Eubalaena,Eubalaena glacialis
OP205180.1,160595,NA,Chordata,Mammalia,Artiodactyla,Balaenidae,Eubalaena,Eubalaena australis
ON675436.1,9771,NA,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera musculus
ON652964.1,82174,NA,Chordata,Mammalia,Artiodactyla,Delphinidae,Pseudorca,Pseudorca crassidens
ON652908.1,103596,NA,Chordata,Mammalia,Artiodactyla,Delphinidae,Peponocephala,Peponocephala electra
MZ772972.1,27614,NA,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena spinipinnis
MZ772969.1,42100,NA,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena sinus
MZ772957.1,9742,NA,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena phocoena
PQ663616.1,9796,NA,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus
MW574914.1,876624,NA,Chordata,Actinopteri,Anguilliformes,Muraenidae,Echidna,Echidna polyzona
MW151696.1,586818,NA,Chordata,Actinopteri,Anguilliformes,Muraenidae,Echidna,Echidna nebulosa
PQ789991.1,3100171,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Discogobio,Discogobio antethoracalis
PQ789990.1,3354482,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Discogobio,Discogobio propeanalis
PQ789989.1,3000206,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Discogobio,Discogobio elongatus
PQ789988.1,369644,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Discogobio,Discogobio bismargaritus
PQ778321.1,2724807,NA,Chordata,Lepidosauria,Squamata,Colubridae,Crotaphopeltis,Crotaphopeltis degeni
PQ773615.1,417950,NA,Chordata,Chondrichthyes,Rhinopristiformes,Glaucostegidae,Glaucostegus,Glaucostegus cemiculus
PQ766596.1,263526,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Ptychobarbus,Ptychobarbus chungtienensis
PQ720778.1,99867,NA,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus undulatus
PQ872305.1,380495,NA,Chordata,Aves,Passeriformes,Turdidae,Myadestes,Myadestes coloratus
PQ679334.1,2896645,NA,Chordata,Aves,Passeriformes,Timaliidae,Alcippe,Alcippe davidi
PQ668635.1,350771,NA,Chordata,Actinopteri,Osmeriformes,Salangidae,Neosalanx,Neosalanx oligodontis
PQ867598.1,175788,NA,Chordata,Actinopteri,Siluriformes,Bagridae,Hemibagrus,Hemibagrus guttatus
OR771718.1,79629,NA,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,Fulmarus glacialoides
OR771717.1,240203,NA,Chordata,Aves,Charadriiformes,Chionididae,Chionis,Chionis albus
OR771716.1,297828,NA,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna vittata
OR771715.1,732181,NA,Chordata,Aves,Suliformes,Phalacrocoracidae,Leucocarbo,Leucocarbo bransfieldensis
PQ859330.1,81636,NA,Chordata,Actinopteri,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou
PQ859329.1,107245,NA,Chordata,Actinopteri,Scombriformes,Trichiuridae,Lepidopus,Lepidopus caudatus
OL878405.1,196750,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus tahoensis
OL878403.1,1338620,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus tsiltcoosensis
OL878402.1,148442,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Deltistes,Deltistes luxatus
OL878401.1,154827,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Xyrauchen,Xyrauchen texanus
OL878400.1,156985,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Chasmistes,Chasmistes brevirostris
OL878399.1,244776,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus warnerensis
